roll_no,name,branch,semester
7CE0001,Student1,ECE,2
4ECE0002,Student2,CE,1
6CE0003,Student3,EEE,5
6CE0004,Student4,IT,4
8IT0005,Student5,IT,1
5CSE0006,Student6,CSE,5
5CE0007,Student7,ME,8
1CE0008,Student8,CSE,6
5ECE0009,Student9,IT,3
1EEE0010,Student10,CE,7
4IT0011,Student11,CSE,8
4ECE0012,Student12,EEE,1
3ME0013,Student13,IT,5
3CE0014,Student14,IT,6
1ECE0015,Student15,ME,3
1IT0016,Student16,EEE,4
2EEE0017,Student17,ME,2
6IT0018,Student18,ECE,3
1CSE0019,Student19,IT,4
3IT0020,Student20,EEE,8
2ME0021,Student21,CE,8
2IT0022,Student22,EEE,5
7EEE0023,Student23,EEE,6
6CSE0024,Student24,CSE,7
5CSE0025,Student25,EEE,3
6CE0026,Student26,CE,8
7EEE0027,Student27,CE,7
1CSE0028,Student28,IT,2
5ECE0029,Student29,ME,8
4ECE0030,Student30,ECE,7
2ME0031,Student31,CE,5
3CE0032,Student32,IT,6
4EEE0033,Student33,ECE,1
7CSE0034,Student34,IT,6
6CSE0035,Student35,CSE,5
5CE0036,Student36,IT,2
8CE0037,Student37,IT,1
5ME0038,Student38,CSE,5
2CSE0039,Student39,ECE,8
7CE0040,Student40,CSE,2
3CSE0041,Student41,CSE,2
4ECE0042,Student42,ME,2
6IT0043,Student43,EEE,6
3IT0044,Student44,CE,5
2IT0045,Student45,EEE,4
3EEE0046,Student46,ECE,6
7IT0047,Student47,CE,3
2ECE0048,Student48,CE,4
3ECE0049,Student49,ECE,4
2ECE0050,Student50,CSE,2
3IT0051,Student51,CE,3
7CE0052,Student52,EEE,7
7CE0053,Student53,CE,2
4CE0054,Student54,CE,5
2EEE0055,Student55,CE,6
7ME0056,Student56,ME,8
5CSE0057,Student57,ECE,6
7ME0058,Student58,EEE,4
5ECE0059,Student59,CE,8
7ECE0060,Student60,ECE,8
4ME0061,Student61,CE,4
8IT0062,Student62,IT,6
4CSE0063,Student63,EEE,7
3IT0064,Student64,EEE,7
5CE0065,Student65,CE,4
4CE0066,Student66,ME,2
5ME0067,Student67,CE,1
8EEE0068,Student68,IT,6
6IT0069,Student69,IT,6
6ECE0070,Student70,ECE,5
8ECE0071,Student71,EEE,7
6CSE0072,Student72,ME,3
8EEE0073,Student73,ME,1
7CSE0074,Student74,IT,5
7EEE0075,Student75,CE,6
4CSE0076,Student76,IT,1
2IT0077,Student77,ME,3
1CSE0078,Student78,EEE,5
1CE0079,Student79,CSE,5
4ME0080,Student80,CE,5
2EEE0081,Student81,CE,5
4IT0082,Student82,ME,4
5CSE0083,Student83,CE,6
6CE0084,Student84,CE,5
3EEE0085,Student85,EEE,4
8ME0086,Student86,ECE,2
2EEE0087,Student87,EEE,3
2ME0088,Student88,ECE,7
7CSE0089,Student89,CE,8
5ME0090,Student90,IT,6
8IT0091,Student91,CSE,3
8CE0092,Student92,CE,2
2ECE0093,Student93,EEE,5
7ECE0094,Student94,CSE,2
3CSE0095,Student95,ME,5
6CSE0096,Student96,ECE,1
6CSE0097,Student97,ME,8
4CSE0098,Student98,ECE,6
8ECE0099,Student99,ECE,1
8IT0100,Student100,EEE,1
4CE0101,Student101,CE,5
3ECE0102,Student102,ECE,7
8ME0103,Student103,ME,7
3EEE0104,Student104,ECE,1
6ECE0105,Student105,EEE,1
1ECE0106,Student106,ECE,3
4CE0107,Student107,ME,1
7CSE0108,Student108,CSE,8
5EEE0109,Student109,ME,6
1ME0110,Student110,EEE,4
5ME0111,Student111,ECE,3
8ECE0112,Student112,IT,8
1IT0113,Student113,CSE,3
4IT0114,Student114,ECE,8
4ME0115,Student115,CE,4
5ECE0116,Student116,CE,3
6CE0117,Student117,ME,7
1ME0118,Student118,CSE,1
2CE0119,Student119,CE,2
6ECE0120,Student120,ME,7
5ME0121,Student121,IT,6
1IT0122,Student122,ECE,5
2ME0123,Student123,CSE,5
3ECE0124,Student124,ME,6
8IT0125,Student125,ECE,7
4IT0126,Student126,CE,3
7CSE0127,Student127,CE,8
7CSE0128,Student128,ECE,1
7CE0129,Student129,ECE,3
7ME0130,Student130,CE,1
8CSE0131,Student131,ECE,2
3CE0132,Student132,ME,8
3ME0133,Student133,CE,5
4ME0134,Student134,ME,3
3IT0135,Student135,ME,8
1ECE0136,Student136,IT,2
7IT0137,Student137,ME,2
1CE0138,Student138,IT,2
8EEE0139,Student139,CSE,7
4ME0140,Student140,IT,2
3ECE0141,Student141,IT,5
1CSE0142,Student142,IT,6
1IT0143,Student143,ECE,6
1ME0144,Student144,CSE,7
5IT0145,Student145,ECE,1
8CE0146,Student146,ME,1
6ME0147,Student147,CE,6
1ME0148,Student148,ECE,4
4CE0149,Student149,CSE,6
6EEE0150,Student150,EEE,1
4EEE0151,Student151,IT,3
7ME0152,Student152,ME,8
2ME0153,Student153,EEE,1
2IT0154,Student154,ME,8
4ECE0155,Student155,ME,3
6CSE0156,Student156,ME,4
3IT0157,Student157,CE,8
2ECE0158,Student158,CE,4
7EEE0159,Student159,IT,6
2CE0160,Student160,ME,6
5CSE0161,Student161,CE,1
8IT0162,Student162,ME,6
5IT0163,Student163,EEE,1
2CE0164,Student164,ME,4
4ME0165,Student165,EEE,4
2CSE0166,Student166,EEE,1
1EEE0167,Student167,EEE,4
4ME0168,Student168,IT,1
3IT0169,Student169,CE,3
1CE0170,Student170,CE,8
5EEE0171,Student171,CSE,2
3IT0172,Student172,ME,5
3EEE0173,Student173,ECE,5
3IT0174,Student174,IT,5
8CSE0175,Student175,IT,3
7ME0176,Student176,CE,7
8ME0177,Student177,CSE,7
2CSE0178,Student178,ECE,3
4IT0179,Student179,CSE,1
6ECE0180,Student180,ME,4
4IT0181,Student181,CSE,3
7CE0182,Student182,CSE,4
5CSE0183,Student183,IT,6
8IT0184,Student184,ECE,2
2CSE0185,Student185,CE,5
5CE0186,Student186,EEE,8
1CSE0187,Student187,CSE,1
5ECE0188,Student188,EEE,8
2CE0189,Student189,ME,3
6EEE0190,Student190,ECE,4
8CSE0191,Student191,CSE,7
1EEE0192,Student192,ME,4
5EEE0193,Student193,CE,2
4CSE0194,Student194,CE,3
5EEE0195,Student195,IT,4
8CE0196,Student196,CSE,4
8ECE0197,Student197,CSE,4
5ECE0198,Student198,CSE,4
6ECE0199,Student199,ME,1
6IT0200,Student200,ECE,4
3CSE0201,Student201,ECE,8
4CSE0202,Student202,ME,8
3CE0203,Student203,ME,1
2CE0204,Student204,IT,5
7ME0205,Student205,ECE,4
4IT0206,Student206,CE,5
2ME0207,Student207,CSE,2
5ME0208,Student208,ME,3
4IT0209,Student209,CE,5
2CE0210,Student210,IT,6
1CE0211,Student211,CSE,7
4CSE0212,Student212,CE,7
7IT0213,Student213,EEE,1
2EEE0214,Student214,EEE,2
5ME0215,Student215,CSE,6
7IT0216,Student216,ME,6
2IT0217,Student217,CE,7
1CSE0218,Student218,ECE,2
1IT0219,Student219,ME,7
7EEE0220,Student220,ECE,7
3IT0221,Student221,ME,8
7CSE0222,Student222,ECE,5
8ME0223,Student223,CSE,8
2IT0224,Student224,EEE,1
7IT0225,Student225,CE,2
5ME0226,Student226,IT,5
2CE0227,Student227,ECE,5
2CE0228,Student228,CE,1
2CE0229,Student229,CSE,1
5EEE0230,Student230,ECE,1
1CE0231,Student231,CE,1
5ECE0232,Student232,IT,5
5ME0233,Student233,EEE,1
7EEE0234,Student234,EEE,5
8CSE0235,Student235,CE,3
6CE0236,Student236,ME,2
2ME0237,Student237,ECE,8
3CSE0238,Student238,EEE,1
6ME0239,Student239,EEE,2
5CSE0240,Student240,EEE,2
8CSE0241,Student241,CSE,8
